Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal;;Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal
fri26;0;1176;1505;1139;1751;937;;;;;;;;
fri26;1;1550;1606;1190;1790;937;;;;;;;;
fri26;2;1357;1630;1220;1843;937;;;;;;;;
fri26;3;1363;1823;1223;1743;937;;;;;;;;
fri26;4;1501;1865;1168;1739;937;;;;;;;;
fri26;5;1494;1784;1177;1752;937;;;;;;;;
fri26;6;1488;1834;1177;1829;937;;;;;;;;
fri26;7;1459;2113;1158;1805;937;;;;;;;;
fri26;8;1545;2029;1158;1835;937;;;;;;;;
fri26;9;1470;1983;1211;1683;937;;;;;;;;
fri26;10;1439;1671;1208;1705;937;;;;;;;;
fri26;11;1367;1825;1207;1648;937;;;;;;;;
fri26;12;1310;1722;1179;1682;937;;;;;;;;
fri26;13;1383;1735;1179;1821;937;;;;;;;;
fri26;14;1465;1697;1208;1816;937;;;;;;;;
fri26;15;1312;2013;1203;2049;937;;;;;;;;
fri26;16;1502;2294;1207;1916;937;;;;;;;;
fri26;17;1468;2443;1184;2134;937;;;;;;;;
fri26;18;1425;2506;1222;2259;937;;;;;;;;
fri26;19;1423;2450;1235;2281;937;;;;;;;;
fri26;20;1470;2176;1222;1833;937;;;;;;;;
fri26;21;1394;2367;1133;1658;937;;;;;;;;
fri26;22;1417;2450;1125;1588;937;;;;;;;;
fri26;23;1419;2531;1125;1480;937;;;;;;;;
fri26;24;1496;1426;1131;1529;937;;;;;;;;
fri26;25;1398;2416;1075;1684;937;;;;;;;;
gr120;0;11843;28382;9899;24163;6942;;;;;;;;
gr120;1;11702;27929;9830;19889;6942;;;;;;;;
gr120;2;12064;27330;9882;21272;6942;;;;;;;;
gr120;3;11362;28051;9936;30711;6942;;;;;;;;
gr120;4;11235;24700;9877;21397;6942;;;;;;;;
gr120;5;11417;25316;9963;21222;6942;;;;;;;;
gr120;6;10980;25128;9796;20765;6942;;;;;;;;
gr120;7;11494;30544;9877;26827;6942;;;;;;;;
gr120;8;13046;31119;9776;32334;6942;;;;;;;;
gr120;9;11702;26371;9991;21646;6942;;;;;;;;
gr120;10;11543;28007;9865;26190;6942;;;;;;;;
gr120;11;12423;30560;9867;34950;6942;;;;;;;;
gr120;12;11334;27495;9964;34848;6942;;;;;;;;
gr120;13;11105;25910;9889;20989;6942;;;;;;;;
gr120;14;12040;29960;9813;21871;6942;;;;;;;;
gr120;15;11134;34889;9859;30661;6942;;;;;;;;
gr120;16;12377;25475;9964;21276;6942;;;;;;;;
gr120;17;12410;28723;9877;20801;6942;;;;;;;;
gr120;18;12257;26904;9759;25870;6942;;;;;;;;
gr120;19;10308;29997;9768;23444;6942;;;;;;;;
gr120;20;11824;27470;9958;21266;6942;;;;;;;;
gr120;21;11010;26540;9907;35326;6942;;;;;;;;
gr120;22;11410;30269;9777;20337;6942;;;;;;;;
gr120;23;12421;28491;9846;25560;6942;;;;;;;;
gr120;24;12637;31292;9936;20372;6942;;;;;;;;
gr120;25;11564;31771;9846;20021;6942;;;;;;;;
gr120;26;11499;26201;9891;21266;6942;;;;;;;;
gr120;27;12090;28421;9882;20629;6942;;;;;;;;
gr120;28;12238;26144;9817;20957;6942;;;;;;;;
gr120;29;10903;29785;9907;24248;6942;;;;;;;;
gr120;30;10772;31743;9768;33795;6942;;;;;;;;
gr120;31;11247;27669;9873;37583;6942;;;;;;;;
gr120;32;11702;27683;9776;21029;6942;;;;;;;;
gr120;33;11417;28744;9737;34975;6942;;;;;;;;
gr120;34;12201;28745;9817;25872;6942;;;;;;;;
gr120;35;11622;30593;9706;25785;6942;;;;;;;;
gr120;36;11638;26236;9837;20149;6942;;;;;;;;
gr120;37;13108;31835;9778;21293;6942;;;;;;;;
gr120;38;11396;26535;9939;21205;6942;;;;;;;;
gr120;39;11625;29105;9893;26217;6942;;;;;;;;
gr120;40;11414;31931;9991;20344;6942;;;;;;;;
gr120;41;10652;27606;9938;36006;6942;;;;;;;;
gr120;42;11101;29311;9667;25717;6942;;;;;;;;
gr120;43;11087;29206;9964;19684;6942;;;;;;;;
gr120;44;12034;28481;9858;29744;6942;;;;;;;;
gr120;45;12476;23950;9891;20588;6942;;;;;;;;
gr120;46;13193;27598;9759;29458;6942;;;;;;;;
gr120;47;11307;28125;9770;34975;6942;;;;;;;;
gr120;48;11210;28716;10001;33861;6942;;;;;;;;
gr120;49;10628;25680;9930;23794;6942;;;;;;;;
gr120;50;11371;29143;9896;25961;6942;;;;;;;;
gr120;51;11030;28814;9883;31521;6942;;;;;;;;
gr120;52;11597;32022;9754;19707;6942;;;;;;;;
gr120;53;10936;31158;9817;30668;6942;;;;;;;;
gr120;54;11327;27656;9942;25560;6942;;;;;;;;
gr120;55;11356;27060;9923;25855;6942;;;;;;;;
gr120;56;11958;32727;9715;23833;6942;;;;;;;;
gr120;57;12393;26349;9899;20710;6942;;;;;;;;
gr120;58;11770;31612;9683;23370;6942;;;;;;;;
gr120;59;11242;24417;9822;21456;6942;;;;;;;;
gr120;60;12356;30606;9945;30361;6942;;;;;;;;
gr120;61;11558;28822;9953;23845;6942;;;;;;;;
gr120;62;11750;27376;9931;20932;6942;;;;;;;;
gr120;63;11409;27359;9796;19943;6942;;;;;;;;
gr120;64;10880;28217;9883;20605;6942;;;;;;;;
gr120;65;11040;29773;9930;21808;6942;;;;;;;;
gr120;66;10751;29426;9861;27715;6942;;;;;;;;
gr120;67;11012;30344;9670;21101;6942;;;;;;;;
gr120;68;11022;27931;9841;27921;6942;;;;;;;;
gr120;69;11537;26893;9796;23663;6942;;;;;;;;
gr120;70;11677;28955;9667;20040;6942;;;;;;;;
gr120;71;11862;29042;9942;20770;6942;;;;;;;;
gr120;72;11678;28293;9942;20975;6942;;;;;;;;
gr120;73;12030;27671;9776;20335;6942;;;;;;;;
gr120;74;11810;28831;9968;19696;6942;;;;;;;;
gr120;75;11819;26340;9942;20579;6942;;;;;;;;
gr120;76;11672;25973;9891;35078;6942;;;;;;;;
gr120;77;11121;29985;9916;30350;6942;;;;;;;;
gr120;78;10813;28352;9611;25810;6942;;;;;;;;
gr120;79;11438;29330;9899;23845;6942;;;;;;;;
gr120;80;12264;23849;9942;21191;6942;;;;;;;;
gr120;81;12149;28565;9777;19934;6942;;;;;;;;
gr120;82;11300;30840;9683;33795;6942;;;;;;;;
gr120;83;10719;31401;9833;35994;6942;;;;;;;;
gr120;84;11168;27282;9748;24111;6942;;;;;;;;
gr120;85;11820;27039;9889;36535;6942;;;;;;;;
gr120;86;12070;24805;10027;20431;6942;;;;;;;;
gr120;87;11106;23589;9882;21470;6942;;;;;;;;
gr120;88;12636;24664;9930;21536;6942;;;;;;;;
